"hhid","province","zone","rice","area_rice_harvested","area_rice_planted","qty_rice_harvested","qty_rice_own_use","qty_rice_sale","value_rice_prod","cashew","area_cashew_harvested","area_cashew_planted","qty_cashew_harvested","qty_cashew_own_use","qty_cashew_sale","cashew_harv_sold_pct","sold_cashew","cashew_area_agland_pct","cashew_area_total_pct","cashew_price_impt","value_cashew_prod","cashew_price"
"HID758670",13,"Mountain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID758680",13,"Mountain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID758767",24,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,1,0,2,0,NA,NA,NA,NA,0.18112661,0.14367816,0,NA,NA
"HID758848",17,"Tonle Sap",1,3,3,18000,1000,8000,14400000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759002",2,"Tonle Sap",1,3,3,6200,0,0,5580000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759013",1,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759017",5,"Mountain",1,0.2,0.2,1400,0,0,1540000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759191",8,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759395",4,"Tonle Sap",1,0.5,0.5,1800,0,0,1620000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759445",2,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759454",25,"Plain",1,1.48,1.48,20000,2000,7800,20000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759470",14,"Plain",1,3.5,3.5,24000,3000,9000,19200000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759489",8,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759490",8,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759556",3,"Plain",1,1,1,8000,1000,3000,8800000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759782",14,"Plain",1,1,1,16000,1000,7000,12800000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759835",21,"Plain",1,0.4,0.4,1760,0,0,1636800,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759855",22,"Tonle Sap",1,1,1,4000,0,0,3400000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759869",20,"Plain",1,0.35,0.35,1500,0,0,1350000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759932",8,"Plain",1,0.5,0.5,5000,0,2500,5000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID759998",NA,"",1,3.04,3.04,8000,3000,1000,8800000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID760153",5,"Mountain",1,4,4,16000,4000,4000,17600000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID760155",12,"Phnom Penh",1,0.5,0.5,2240,0,0,2688000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID760324",4,"Tonle Sap",1,0.123,0.123,1800,0,0,1620000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID760346",6,"Tonle Sap",1,1,1,1600,0,0,1440000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID760547",20,"Plain",1,0.5,0.5,1500,0,0,1350000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID760592",19,"Mountain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID760640",14,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID760647",14,"Plain",1,2,2,4000,1000,1000,4400000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID760721",4,"Tonle Sap",1,3,3,6000,0,0,5400000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID760782",5,"Mountain",1,0.1,0.1,1800,0,0,1980000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID760823",25,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID760830",5,"Mountain",1,0.75,0.75,5000,0,2000,6000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID760837",17,"Tonle Sap",1,2.0072,2.0072,1680,0,0,1596000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID760880",1,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID760893",21,"Plain",1,1.15,1.15,20000,0,10000,15200000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID761012",4,"Tonle Sap",1,0.3499,0.3499,2200,0,0,1980000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID761116",14,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID761171",4,"Tonle Sap",1,0.7,0.7,6000,0,0,5400000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID761264",25,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID761322",5,"Mountain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID761387",14,"Plain",1,4,4,22000,3000,8000,22000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID761432",7,"Coastal",1,1.22,1.22,7560,1780,2000,6804000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID761467",2,"Tonle Sap",1,1.3,1.3,8000,0,0,7200000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID761574",5,"Mountain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID761642",25,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
